日経会社コード,企業名称,決算期,決算種別,連結基準,決算月数,上場場部：コード,日経業種：コード,有形固定資産,資産合計,売上高・営業収益［累計］,法人税等［累計］,法人税等調整額／繰延税金費用［累計］,支払利息・割引料［累計］,親会社株主に帰属する当期純利益（連結）／当期利益（単独）［累計］,【販管費】人件費・福利厚生費［累計］,【販管費】賃借料［累計］,期末従業員数,営業利益［累計］,受取利息・配当金［累計］,持分法を適用した場合の投資損益［累計］,株主資本,評価・換算差額等／累積その他の包括利益,受取手形・売掛金及び契約資産／売掛金及びその他の短期債権,棚卸資産,売上原価・営業原価［累計］
0000001,極洋,2010/03,10,1,12,11,235341,11568,64301,145778,923,-281,364,1086,3955,,2909,2180,362,,18391,-339,15845,23187,127927
0000001,極洋,2011/03,10,1,12,11,235341,12331,76925,162731,799,-396,380,58,4261,,2753,1588,174,,17785,-707,18884,29680,144085
0000001,極洋,2012/03,10,1,12,11,235341,11574,84937,181885,1383,-62,419,423,4476,,2460,1636,172,,17683,-717,23722,33755,162411
0000001,極洋,2013/03,10,1,12,11,235341,11281,83245,178046,1139,-441,376,1269,4571,,2397,2324,176,3,18512,-75,22579,32306,157186
0000001,極洋,2014/03,10,1,12,11,235341,10597,84319,202387,1255,284,385,2968,4466,,2111,2915,166,-12,20954,-1253,24393,31343,181075
0000001,極洋,2015/03,10,1,12,11,235341,12241,88937,218350,2389,1216,408,2433,4628,,2169,2460,199,-378,22202,447,24616,35952,198009
0000001,極洋,2016/03,10,1,12,11,235341,16972,94608,226626,804,-235,437,1799,4704,,2249,2433,114,73,23405,-827,24759,37068,205854
0000001,極洋,2017/03,10,1,12,11,235341,17137,97391,236561,1518,58,418,2422,4926,,2193,3723,100,169,25301,-325,29113,36895,213292
0000001,極洋,2018/03,10,1,12,11,235341,15377,106297,254783,1416,-58,433,3211,5089,,2257,4066,104,104,28828,60,32879,39921,231180
0000001,極洋,2019/03,10,1,12,11,235341,14981,114673,256151,1242,251,443,2914,5077,,2264,3831,136,207,31346,475,35540,44946,232446
0000001,極洋,2020/03,10,1,12,11,235341,15976,111184,262519,1336,-142,446,2037,5093,,2307,2918,131,202,32396,321,33444,41043,238274
0000001,極洋,2021/03,10,1,12,11,235341,15715,116331,249197,1952,-242,387,3838,5264,,2313,4657,138,86,35300,5081,32869,41759,223620
0000001,極洋,2022/03,10,1,12,11,235341,18897,130460,253575,2124,89,391,4634,5440,,2208,6392,157,17,39072,3632,28683,54628,225558
0000001,極洋,2023/03,10,1,12,11,235341,18912,146301,272167,2664,-309,504,5782,5383,,2112,8105,169,21,43736,3805,33079,63885,241139
0000003,ニッスイ,2010/03,10,1,12,11,235341,112860,383924,481574,2902,32,3586,44,21129,2508,8801,6227,1616,,66798,-5219,59526,67634,375408
0000003,ニッスイ,2011/03,10,1,12,11,235341,113200,401185,494294,526,-2274,3598,-701,21878,2669,11172,8088,1603,,64745,-11899,64104,81744,381299
0000003,ニッスイ,2012/03,10,1,12,11,235341,109350,403182,538030,-1182,-5559,3730,2307,22189,1952,10513,9553,1893,,63320,-14803,67536,86449,418301
0000003,ニッスイ,2013/03,10,1,12,11,235341,112607,424108,566858,4256,-533,3766,-4575,23602,2435,10175,5809,1949,-92,56815,-3947,70573,89046,446640
0000003,ニッスイ,2014/03,10,1,12,11,235341,109432,434597,604249,5827,156,3277,3998,23068,2202,8919,13931,1584,-310,60813,9527,73250,101892,480237
0000003,ニッスイ,2015/03,10,1,12,11,235341,113667,461889,638435,9255,4534,3035,10558,23582,2289,8240,18110,1410,2485,69536,20633,73192,113199,505715
0000003,ニッスイ,2016/03,10,1,12,11,235341,118116,445707,637164,7282,941,2652,12307,24261,2245,8466,19442,1267,2126,81282,13643,70534,110920,504406
0000003,ニッスイ,2017/03,10,1,12,11,235341,123630,451876,635953,8933,2940,2172,14216,24146,2317,8722,22646,1124,2965,108163,12809,75206,110042,501371
0000003,ニッスイ,2018/03,10,1,12,11,235341,132782,482233,677293,7886,-24,2000,17234,24373,2533,9003,23240,1115,1325,123305,14409,84681,122274,537301
0000003,ニッスイ,2019/03,10,1,12,11,235341,137525,477913,712111,8279,2156,1744,15379,24883,2730,9065,21685,1016,2751,135960,10365,88753,128750,573385
0000003,ニッスイ,2020/03,10,1,12,11,235341,148042,491533,690016,7374,393,1636,14768,25477,2920,9247,22834,1035,2820,148069,5082,79962,131052,556218
0000003,ニッスイ,2021/03,10,1,12,11,235341,147428,475468,615044,7337,688,1318,14391,25290,3132,9431,17998,893,2770,159648,9778,76042,129080,518618
0000003,ニッスイ,2022/03,10,1,12,11,235341,145379,505731,693682,8807,608,1166,17275,27429,3344,9662,27076,956,2685,172889,16909,90325,144082,582602
0000003,ニッスイ,2023/03,10,1,12,11,235341,149017,549013,768181,7262,-624,1637,21233,27631,3594,9515,24488,1006,2401,189457,27385,95690,175882,652129
0000004,マルハニチロ,2010/03,10,0,12,11,235341,11050,113684,174907,-519,-538,1882,742,3579,,372,654,634,147,24557,-121,15210,34359,158219
0000004,マルハニチロ,2011/03,10,0,12,11,235341,10844,112409,177790,1369,541,1471,1859,3432,,347,6184,598,123,25816,3,14499,35907,155772
0000004,マルハニチロ,2012/03,10,1,12,11,235341,21720,134504,233998,1963,44,1562,762,4070,,2194,5961,261,,28894,-8736,20078,51571,205111
0000004,マルハニチロ,2013/03,10,1,12,11,235341,22634,124453,229494,1802,1053,1412,2920,4184,,2153,4921,332,,29615,-6654,22334,53425,201761
0000004,マルハニチロ,2014/03,10,1,12,11,235341,24649,151536,264449,2532,13,1481,3730,4636,,2098,5456,182,,33345,-2897,27685,67810,234074
0000004,マルハニチロ,2015/03,10,1,12,11,235341,143373,502016,863784,2259,-1398,2696,7219,24422,,11803,8686,936,1210,78567,10325,101287,147537,756410
0000004,マルハニチロ,2016/03,10,1,12,11,235341,139595,485973,884811,5653,1158,2486,4097,24871,,11258,16972,964,983,79610,5587,100171,141441,768242
