会社コード,企業名,決算期,決算種別,連結基準,決算月数,上場コード,日経業種コード,売上高,親会社株主に帰属する当期純利益,資産合計,株主資本
0000001,極洋,2006/03,10,1,12,11,235341,152899,2007,65049,14852
0000001,極洋,2007/03,10,1,12,11,235341,157088,2000,66459,16339
0000001,極洋,2008/03,10,1,12,11,235341,147767,1497,57373,16873
0000001,極洋,2009/03,10,1,12,11,235341,147554,1587,61184,17839
0000001,極洋,2010/03,10,1,12,11,235341,145778,1086,64301,18390
0000001,極洋,2011/03,10,1,12,11,235341,162731,58,76925,17785
0000001,極洋,2012/03,10,1,12,11,235341,181885,423,84937,17683
0000001,極洋,2013/03,10,1,12,11,235341,178046,1269,83245,18512
0000001,極洋,2014/03,10,1,12,11,235341,202387,2968,84319,20954
0000001,極洋,2015/03,10,1,12,11,235341,218350,2433,88937,22202
0000001,極洋,2016/03,10,1,12,11,235341,226626,1799,94608,23405
0000001,極洋,2017/03,10,1,12,11,235341,236561,2422,97391,25302
0000001,極洋,2018/03,10,1,12,11,235341,254783,3211,106297,28828
0000001,極洋,2019/03,10,1,12,11,235341,256151,2914,114673,31346
0000001,極洋,2020/03,10,1,12,11,235341,262519,2037,111184,32396
0000001,極洋,2021/03,10,1,12,11,235341,249197,3838,116331,35300
0000001,極洋,2022/03,10,1,12,11,235341,253575,4634,130460,39072
0000003,日本水産,2006/03,10,1,12,11,235341,539653,6700,384819,80909
0000003,日本水産,2007/03,10,1,12,11,235341,552871,9301,404173,89105
0000003,日本水産,2008/03,10,1,12,11,235341,533970,9390,396739,95709
0000003,日本水産,2009/03,10,1,12,11,235341,505250,-16239,385462,69256
0000003,日本水産,2010/03,10,1,12,11,235341,481574,44,383924,66798
0000003,日本水産,2011/03,10,1,12,11,235341,494294,-701,401185,64744
0000003,日本水産,2012/03,10,1,12,11,235341,538030,2307,403182,63320
0000003,日本水産,2013/03,10,1,12,11,235341,566858,-4575,424108,56815
0000003,日本水産,2014/03,10,1,12,11,235341,604249,3998,434597,60812
0000003,日本水産,2015/03,10,1,12,11,235341,638435,10558,461889,69536
