nikkei_code,name,date,kessan,renketsu,num_employee,kessan_month,listed_code,industry_code,total_asset,tangibles,salary,rent_fee,corporate_tax,tax_adjustment,net_income,interest_expense,sales
0000001,極洋,2010/03,10,1,2909,12,11,235341,64301,11568,3955,0,923,-281,1086,364,145778
0000001,極洋,2011/03,10,1,2753,12,11,235341,76925,12331,4261,0,799,-396,58,380,162731
0000001,極洋,2012/03,10,1,2460,12,11,235341,84937,11574,4476,0,1383,-62,423,419,181885
0000001,極洋,2013/03,10,1,2397,12,11,235341,83245,11281,4571,0,1139,-441,1269,376,178046
0000001,極洋,2014/03,10,1,2111,12,11,235341,84319,10597,4466,0,1255,284,2968,385,202387
0000001,極洋,2015/03,10,1,2169,12,11,235341,88937,12241,4628,0,2389,1216,2433,408,218350
0000001,極洋,2016/03,10,1,2249,12,11,235341,94608,16972,4704,0,804,-235,1799,437,226626
0000001,極洋,2017/03,10,1,2193,12,11,235341,97391,17137,4926,0,1518,58,2422,418,236561
0000001,極洋,2018/03,10,1,2257,12,11,235341,106297,15377,5089,0,1416,-58,3211,433,254783
0000001,極洋,2019/03,10,1,2264,12,11,235341,114673,14981,5077,0,1242,251,2914,443,256151
0000001,極洋,2020/03,10,1,2307,12,11,235341,111184,15976,5093,0,1336,-142,2037,446,262519
0000001,極洋,2021/03,10,1,2313,12,11,235341,116331,15715,5264,0,1952,-242,3838,387,249197
0000001,極洋,2022/03,10,1,2208,12,11,235341,130460,18897,5440,0,2124,89,4634,391,253575
0000001,極洋,2023/03,10,1,2112,12,11,235341,146301,18912,5383,0,2664,-309,5782,504,272167
0000003,ニッスイ,2010/03,10,1,8801,12,11,235341,383924,112860,21129,2508,2902,32,44,3586,481574
0000003,ニッスイ,2011/03,10,1,11172,12,11,235341,401185,113200,21878,2669,526,-2274,-701,3598,494294
0000003,ニッスイ,2012/03,10,1,10513,12,11,235341,403182,109350,22189,1952,-1182,-5559,2307,3730,538030
0000003,ニッスイ,2013/03,10,1,10175,12,11,235341,424108,112607,23602,2435,4256,-533,-4575,3766,566858
0000003,ニッスイ,2014/03,10,1,8919,12,11,235341,434597,109432,23068,2202,5827,156,3998,3277,604249
0000003,ニッスイ,2015/03,10,1,8240,12,11,235341,461889,113667,23582,2289,9255,4534,10558,3035,638435
0000003,ニッスイ,2016/03,10,1,8466,12,11,235341,445707,118116,24261,2245,7282,941,12307,2652,637164
0000003,ニッスイ,2017/03,10,1,8722,12,11,235341,451876,123630,24146,2317,8933,2940,14216,2172,635953
0000003,ニッスイ,2018/03,10,1,9003,12,11,235341,482233,132782,24373,2533,7886,-24,17234,2000,677293
0000003,ニッスイ,2019/03,10,1,9065,12,11,235341,477913,137525,24883,2730,8279,2156,15379,1744,712111
0000003,ニッスイ,2020/03,10,1,9247,12,11,235341,491533,148042,25477,2920,7374,393,14768,1636,690016
0000003,ニッスイ,2021/03,10,1,9431,12,11,235341,475468,147428,25290,3132,7337,688,14391,1318,615044
0000003,ニッスイ,2022/03,10,1,9662,12,11,235341,505731,145379,27429,3344,8807,608,17275,1166,693682
0000003,ニッスイ,2023/03,10,1,9515,12,11,235341,549013,149017,27631,3594,7262,-624,21233,1637,768181
0000004,マルハニチロ,2010/03,10,0,372,12,11,235341,113684,11050,3579,0,-519,-538,742,1882,174907
0000004,マルハニチロ,2011/03,10,0,347,12,11,235341,112409,10844,3432,0,1369,541,1859,1471,177790
0000004,マルハニチロ,2012/03,10,1,2194,12,11,235341,134504,21720,4070,0,1963,44,762,1562,233998
0000004,マルハニチロ,2013/03,10,1,2153,12,11,235341,124453,22634,4184,0,1802,1053,2920,1412,229494
0000004,マルハニチロ,2014/03,10,1,2098,12,11,235341,151536,24649,4636,0,2532,13,3730,1481,264449
0000004,マルハニチロ,2015/03,10,1,11803,12,11,235341,502016,143373,24422,0,2259,-1398,7219,2696,863784
0000004,マルハニチロ,2016/03,10,1,11258,12,11,235341,485973,139595,24871,0,5653,1158,4097,2486,884811
0000004,マルハニチロ,2017/03,10,1,11237,12,11,235341,501303,140014,24599,0,5818,-376,15446,1953,873295
0000004,マルハニチロ,2018/03,10,1,10938,12,11,235341,516607,138444,24989,0,7301,234,16102,1845,918820
0000004,マルハニチロ,2019/03,10,1,11276,12,11,235341,520318,140351,25426,0,7624,1447,16695,1752,922468
0000004,マルハニチロ,2020/03,10,1,11107,12,11,235341,528063,148206,25486,0,6296,770,12537,1747,905204
0000004,マルハニチロ,2021/03,10,1,13117,12,11,235341,532866,147902,25589,0,1626,-2085,5753,1509,809050
0000004,マルハニチロ,2022/03,10,1,12352,12,11,235341,548603,140249,25560,0,7197,2677,16898,1402,866702
0000004,マルハニチロ,2023/03,10,1,12843,12,11,235341,637227,148995,28249,0,7058,-538,18596,2281,1020456
